Macramé reviews,,,,
,,,,
Similar,,,,
1.00E+00,1.24E-01,3.12E-01,7.23E-02,1.24E-01
1.24E-01,1.00E+00,1.33E-01,1.39E-01,1.52E-01
3.12E-01,1.33E-01,1.00E+00,6.31E-02,3.50E-01
7.23E-02,1.39E-01,6.31E-02,1.00E+00,1.37E-01
1.24E-01,1.52E-01,3.50E-01,1.37E-01,1.00E+00
,,,,
Different,,,,
1.00E+00,9.96E-02,1.83E-01,7.50E-02,3.35E-02
9.96E-02,1.00E+00,1.10E-01,6.17E-02,1.32E-01
1.83E-01,1.10E-01,1.00E+00,1.73E-01,8.79E-02
7.50E-02,6.17E-02,1.73E-01,1.00E+00,2.94E-02
3.35E-02,1.32E-01,8.79E-02,2.94E-02,1.00E+00
