1.000000000000000666e+00,1.313360189154365032e-01,5.520087264959050444e-02,3.754607200230048597e-02,1.635188202248747391e-01,8.010766213092265775e-02
1.313360189154365032e-01,1.000000000000000000e+00,1.153743797412297156e-01,1.212505183188047619e-01,7.560069519570626617e-02,8.911592705465513908e-02
5.520087264959050444e-02,1.153743797412297156e-01,1.000000000000000666e+00,5.902185333829784025e-02,3.987637992632658834e-02,8.471760954188314874e-02
3.754607200230048597e-02,1.212505183188047619e-01,5.902185333829784025e-02,9.999999999999997780e-01,3.366491672950725628e-02,7.371987914704482281e-02
1.635188202248747391e-01,7.560069519570626617e-02,3.987637992632658834e-02,3.366491672950725628e-02,9.999999999999995559e-01,1.462938322637207245e-01
8.010766213092265775e-02,8.911592705465513908e-02,8.471760954188314874e-02,7.371987914704482281e-02,1.462938322637207245e-01,1.000000000000000444e+00
9.999999999999994449e-01,1.441673384637222610e-01,3.598242847330173494e-02,1.963355714648757910e-01,0.000000000000000000e+00,5.117337433211829184e-02
1.441673384637222610e-01,1.000000000000000222e+00,8.291043556211376286e-02,2.211777945963867009e-01,7.756843550068907855e-02,9.463049411388253784e-02
3.598242847330173494e-02,8.291043556211376286e-02,1.000000000000000444e+00,8.213369139030793353e-02,0.000000000000000000e+00,1.480294554718724342e-01
1.963355714648757910e-01,2.211777945963867009e-01,8.213369139030793353e-02,1.000000000000000000e+00,4.958286079838592625e-02,1.142355243266268972e-01
0.000000000000000000e+00,7.756843550068907855e-02,0.000000000000000000e+00,4.958286079838592625e-02,1.000000000000000222e+00,1.880367940563610341e-01
5.117337433211829184e-02,9.463049411388253784e-02,1.480294554718724342e-01,1.142355243266268972e-01,1.880367940563610341e-01,1.000000000000000222e+00
