1,0.078748438,0.063239716,0.073651642,0
0.078748438,1,0.078468855,0.089793798,0.087395279
0.063239716,0.078468855,1,0.108697221,0.012173909
0.073651642,0.089793798,0.108697221,1,0.139232824
0,0.087395279,0.012173909,0.139232824,1
1,0.063871427,0.106589374,0.089859877,0.048094255
0.063871427,1,0.088321681,0.052456709,0.048681322
0.106589374,0.088321681,1,0.136936561,0.061364202
0.089859877,0.052456709,0.136936561,1,0.087580479
0.048094255,0.048681322,0.061364202,0.087580479,1
1,0.05336384,0.072189559,0.084461463,0.171065959
0.05336384,1,0.014204612,0.024120717,0.026961923
0.072189559,0.014204612,1,0.162499439,0.134253015
0.084461463,0.024120717,0.162499439,1,0.071581042
0.171065959,0.026961923,0.134253015,0.071581042,1
1,0.084463799,0.016677586,0.053672875,0.08318229
0.084463799,1,0.162373056,0.097332227,0.135443855
0.016677586,0.162373056,1,0.029791233,0.079913871
0.053672875,0.097332227,0.029791233,1,0.090985769
0.08318229,0.135443855,0.079913871,0.090985769,1
1,0.023633252,0.170376585,0.086568682,0.064875612
0.023633252,1,0.050933623,0.072052988,0.050203403
0.170376585,0.050933623,1,0.077941433,0.143251561
0.086568682,0.072052988,0.077941433,1,0.118270612
0.064875612,0.050203403,0.143251561,0.118270612,1
1,0.081096029,0.112689417,0.084971588,0.140831801
0.081096029,1,0.066731104,0.015272562,0.045345479
0.112689417,0.066731104,1,0.085037899,0.052833477
0.084971588,0.015272562,0.085037899,1,0.217629364
0.140831801,0.045345479,0.052833477,0.217629364,1
1,0.079252587,0.028083582,0.125361595,0.057303497
0.079252587,1,0.035972886,0.032703502,0.134337521
0.028083582,0.035972886,1,0.088300969,0.083466898
0.125361595,0.032703502,0.088300969,1,0.025957954
0.057303497,0.134337521,0.083466898,0.025957954,1
1,0.060286178,0.165663046,0.225991492,0.075201718
0.060286178,1,0.213356469,0.080266297,0.162728614
0.165663046,0.213356469,1,0.082600403,0.027885881
0.225991492,0.080266297,0.082600403,1,0.00958118
0.075201718,0.162728614,0.027885881,0.00958118,1
1,0.080979122,0.118052591,0.137038835,0.101834683
0.080979122,1,0.050685858,0.134548189,0.028924553
0.118052591,0.050685858,1,0.075059565,0.233840012
0.137038835,0.134548189,0.075059565,1,0.06999723
0.101834683,0.028924553,0.233840012,0.06999723,1
1,0.16344723,0.134475967,0.192107792,0.159229213
0.16344723,1,0.1548718,0.126105709,0.020713925
0.134475967,0.1548718,1,0.097142699,0.058663465
0.192107792,0.126105709,0.097142699,1,0.077708249
0.159229213,0.020713925,0.058663465,0.077708249,1
1,0.048382196,0.004935137,0.085106687,0.094017993
0.048382196,1,0.074818798,0.241206771,0.104393183
0.004935137,0.074818798,1,0.056970344,0.046902816
0.085106687,0.241206771,0.056970344,1,0.083173544
0.094017993,0.104393183,0.046902816,0.083173544,1
1,0.06084879,0.028751755,0.042602255,0.129947892
0.06084879,1,0.030143956,0.135127863,0.096641385
0.028751755,0.030143956,1,0.084679763,0.097813071
0.042602255,0.135127863,0.084679763,1,0.129353084
0.129947892,0.096641385,0.097813071,0.129353084,1
1,0.302531066,0.03461158,0.140394042,0.15727671
0.302531066,1,0.023147734,0.101937771,0.128342023
0.03461158,0.023147734,1,0.024098387,0.027876913
0.140394042,0.101937771,0.024098387,1,0.070718919
0.15727671,0.128342023,0.027876913,0.070718919,1
1,0.028850173,0.02734361,0,0.098908511
0.028850173,1,0.163208273,0,0.109825346
0.02734361,0.163208273,1,0.044592169,0.137647407
0,0,0.044592169,1,0
0.098908511,0.109825346,0.137647407,0,1
1,0.110257825,0.120022363,0.048283862,0.193356497
0.110257825,1,0.093959531,0.060736927,0.047763194
0.120022363,0.093959531,1,0.039059864,0.089418185
0.048283862,0.060736927,0.039059864,1,0.062257472
0.193356497,0.047763194,0.089418185,0.062257472,1
1,0,0.051222707,0.043221,0.06958229
0,1,0.032840731,0.094068972,0.125622262
0.051222707,0.032840731,1,0.055238338,0.030537518
0.043221,0.094068972,0.055238338,1,0.048030346
0.06958229,0.125622262,0.030537518,0.048030346,1
1,0.10854741,0.065947595,0.087074426,0.169285533
0.10854741,1,0.058725038,0.082118408,0.114508062
0.065947595,0.058725038,1,0.09324106,0.154734286
0.087074426,0.082118408,0.09324106,1,0.173919918
0.169285533,0.114508062,0.154734286,0.173919918,1
1,0.119486548,,,
0.119486548,1,,,
